skeptycal/ToolsOfTheTrade	Tools of The Trade, from Hacker News.	public, fork	2018-10-26T01:16:27Z
skeptycal/TopDeepLearning	A list of popular github projects related to deep learning	public, fork	2018-09-22T21:56:34Z
skeptycal/Visualization	Visualization WG Developments	public, fork	2018-11-05T07:48:15Z
skeptycal/Visualizing-Deep-Learning	A series of blog posts on visualizing deep learning.	public, fork	2017-03-10T04:33:23Z
skeptycal/WoeUSB-1	WoeUSB is a simple tool that enable you to create your own usb stick windows installer from an iso image or a real DVD. It is a fork of Congelli501's WinUSB.	public, fork	2018-09-19T08:13:58Z
skeptycal/WoeUSB-ng	WoeUSB is a simple tool that enable you to create your own usb stick windows installer from an iso image or a real DVD.	public, fork	2018-09-15T07:45:56Z
skeptycal/Women-in-Data		public, fork	2017-12-01T08:59:22Z
skeptycal/audible-activator	Retrieves your activation data (activation_bytes) from Audible servers	public, fork	2015-11-28T18:01:40Z
skeptycal/audible-samples	Sample Audible files	public, fork	2015-09-07T13:37:40Z
skeptycal/audio-learning		public, fork	2022-02-11T06:08:27Z
skeptycal/audio-visualizer-db410c		public, fork	2018-08-08T08:08:09Z
skeptycal/audiofabric	a 3d music visualization	public, fork	2022-03-27T05:17:35Z
skeptycal/autotune	Automatically tunes apps and websites to improve outcomes	public, fork	2022-04-09T07:01:08Z
skeptycal/awesome	:sunglasses: Curated list of awesome lists	public, fork	2018-10-27T11:51:27Z
skeptycal/awesome-cheatsheets	👩‍💻👨‍💻 Awesome cheatsheets for popular programming languages, frameworks and development tools. They include everything you should know in one single file.	public, fork	2019-01-30T19:57:42Z
skeptycal/awesome-command-line-apps	:shell: Use your terminal shell to do awesome things.	public, fork	2018-12-25T21:56:40Z
skeptycal/awesome-compilers	:sunglasses: Curated list of awesome resources on Compilers, Interpreters and Runtimes	public, fork	2019-01-21T21:18:24Z
skeptycal/awesome-data-engineering	A curated list of data engineering tools for software developers	public, fork	2018-10-12T15:22:07Z
skeptycal/awesome-deep-learning	A curated list of awesome Deep Learning tutorials, projects and communities.	public, fork	2018-10-25T12:57:27Z
skeptycal/awesome-deeplearning-resources	Deep Learning and deep reinforcement learning research papers and some codes	public, fork	2019-01-08T14:27:29Z
skeptycal/awesome-devops	A curated list of resources for Devops	public, fork	2018-10-07T18:28:37Z
skeptycal/awesome-django	A curated list of awesome Django apps and projects.	public, fork	2014-07-28T21:16:18Z
skeptycal/awesome-docker	:whale: A curated list of Docker resources and projects	public, fork	2022-02-13T17:54:54Z
skeptycal/awesome-dotfiles	A curated list of dotfiles resources.	public, fork	2018-10-23T22:48:09Z
skeptycal/awesome-for-beginners	A list of awesome beginners-friendly projects.	public, fork	2019-02-07T08:50:24Z
skeptycal/awesome-go	A curated list of awesome Go frameworks, libraries and software	public, fork	2019-01-11T14:45:37Z
skeptycal/awesome-graphql	Awesome list of GraphQL & Relay	public, fork	2018-10-27T11:17:12Z
skeptycal/awesome-htmlhint	🖖 A list of awesome HTMLHint plugins, configs, etc.	public, fork	2018-10-03T15:57:50Z
skeptycal/awesome-interview-questions	:octocat: A curated awesome list of lists of interview questions. Feel free to contribute! :mortar_board:	public, fork	2019-01-20T11:50:03Z
skeptycal/awesome-ios	A curated list of awesome iOS ecosystem, including Objective-C and Swift Projects	public, fork	2018-11-12T14:18:32Z
skeptycal/awesome-job-boards		public, fork	2019-01-10T15:34:15Z
skeptycal/awesome-mac	 Now we have become very big, Different from the original idea. Collect premium software in various categories.	public, fork	2022-01-15T02:38:29Z
skeptycal/awesome-machine-learning	A curated list of awesome Machine Learning frameworks, libraries and software.	public, fork	2018-11-01T05:14:35Z
skeptycal/awesome-macos-command-line	Use your macOS terminal shell to do awesome things.	public, fork	2018-12-06T15:20:35Z
skeptycal/awesome-network-automation	Curated Awesome list about Network Automation	public, fork	2018-01-14T17:14:28Z
skeptycal/awesome-nlp	:book: A curated list of resources dedicated to Natural Language Processing (NLP)	public, fork	2018-10-30T13:56:09Z
skeptycal/awesome-nuxt	A curated list of awesome things related to Nuxt.js	public, fork	2019-06-22T06:07:03Z
skeptycal/awesome-public-datasets	A topic-centric list of high-quality open datasets in public domains. New PR ☛☛☛	public, fork	2018-10-29T09:45:46Z
skeptycal/awesome-python	A curated list of awesome Python frameworks, libraries, software and resources	public, fork	2019-01-08T20:09:29Z
skeptycal/awesome-remote-job	A curated list of awesome remote jobs and resources. Inspired by https://github.com/vinta/awesome-python	public, fork	2019-02-03T16:34:26Z
skeptycal/awesome-scalability	The Patterns Behind Scalable, Reliable, and Performant Large-Scale Systems	public, fork	2019-02-17T06:16:49Z
skeptycal/awesome-scientific-python	A curated list of awesome scientific Python resources	public, fork	2018-09-06T12:47:09Z
skeptycal/awesome-swift	A collaborative list of awesome Swift libraries and resources. Feel free to contribute!	public, fork	2022-04-09T07:01:13Z
skeptycal/awesome-sysadmin	A curated list of amazingly awesome open source sysadmin resources inspired by Awesome PHP.	public, fork	2019-01-28T21:44:56Z
skeptycal/awesome-visualization-research	A list of recommended research papers and other readings on data visualization	public, fork	2018-11-11T15:46:07Z
skeptycal/bash-redirections-cheat-sheet	Bash redirections cheat sheet	public, fork	2012-09-13T17:20:06Z
skeptycal/bashtime	A bash script to display an analog time in your command prompt on OS X	public, fork	2015-02-15T11:51:32Z
skeptycal/basic-games	An archive of the best games I wrote for Q-Basic over a 10 year span.	public, fork	2013-12-11T20:11:59Z
skeptycal/bayesian-belief-networks	Pythonic Bayesian Belief Network Package, supporting creation of and exact inference on Bayesian Belief Networks specified as pure python functions.	public, fork	2021-04-20T20:30:31Z
